,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,20.0,2000.0,4.0,4.0,360.0,4.0,5.0,1.25,20.0,15.0,75.0,1.0,2.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,
1,Doğan Alemdar,tr TUR,GK,Rennes,Ligue 1,18.0,2002.0,12.0,12.0,1080.0,12.0,13.0,1.08,36.0,22.0,66.7,6.0,1.0,5.0,4.0,33.3,2.0,1.0,1.0,0.0,50.0
2,Alisson,br BRA,GK,Liverpool,Premier League,28.0,1992.0,36.0,36.0,3240.0,36.0,24.0,0.67,99.0,76.0,75.8,27.0,7.0,2.0,20.0,55.6,0.0,0.0,0.0,0.0,
3,Alphonse Areola,fr FRA,GK,West Ham,Premier League,28.0,1993.0,1.0,1.0,90.0,1.0,1.0,1.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,Kepa Arrizabalaga,es ESP,GK,Chelsea,Premier League,26.0,1994.0,4.0,4.0,360.0,4.0,2.0,0.5,13.0,11.0,84.6,2.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,
5,Sergio Asenjo,es ESP,GK,Villarreal,La Liga,32.0,1989.0,6.0,6.0,540.0,6.0,9.0,1.5,28.0,19.0,71.4,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6,Emil Audero,it ITA,GK,Sampdoria,Serie A,24.0,1997.0,29.0,29.0,2560.0,28.4,48.0,1.69,130.0,82.0,63.8,8.0,5.0,16.0,5.0,17.2,2.0,1.0,1.0,0.0,50.0
7,Daniel Bachmann,at AUT,GK,Watford,Premier League,27.0,1994.0,12.0,12.0,1080.0,12.0,28.0,2.33,72.0,46.0,65.3,1.0,0.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
8,Édgar Badía,es ESP,GK,Elche,La Liga,29.0,1992.0,24.0,24.0,2160.0,24.0,35.0,1.46,114.0,78.0,75.4,8.0,5.0,11.0,5.0,20.8,9.0,7.0,1.0,1.0,12.5
9,Nicola Bagnolini,it ITA,GK,Bologna,Serie A,17.0,2004.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,
10,Stefan Bajic,fr FRA,GK,Saint-Étienne,Ligue 1,19.0,2001.0,7.0,4.0,510.0,5.7,13.0,2.29,29.0,16.0,62.1,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
11,Francesco Bardi,it ITA,GK,Bologna,Serie A,29.0,1992.0,2.0,2.0,177.0,2.0,2.0,1.02,9.0,7.0,77.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,Oliver Baumann,de GER,GK,Hoffenheim,Bundesliga,31.0,1990.0,33.0,33.0,2970.0,33.0,57.0,1.73,155.0,98.0,64.5,12.0,7.0,14.0,8.0,24.2,4.0,2.0,1.0,1.0,33.3
13,Asmir Begović,ba BIH,GK,Everton,Premier League,34.0,1987.0,3.0,3.0,270.0,3.0,8.0,2.67,18.0,11.0,61.1,1.0,0.0,2.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0
14,Vid Belec,si SVN,GK,Salernitana,Serie A,31.0,1990.0,23.0,21.0,1938.0,21.5,49.0,2.28,135.0,87.0,65.9,3.0,2.0,16.0,1.0,4.8,5.0,3.0,1.0,1.0,25.0
15,Walter Benítez,ar ARG,GK,Nice,Ligue 1,28.0,1993.0,37.0,37.0,3330.0,37.0,35.0,0.95,141.0,105.0,78.0,20.0,7.0,10.0,14.0,37.8,5.0,4.0,1.0,0.0,20.0
16,Alessandro Berardi,it ITA,GK,Hellas Verona,Serie A,30.0,1991.0,1.0,1.0,90.0,1.0,3.0,3.0,7.0,4.0,57.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,Etrit Berisha,al ALB,GK,Torino,Serie A,32.0,1989.0,10.0,10.0,900.0,10.0,8.0,0.8,41.0,32.0,85.4,3.0,4.0,3.0,4.0,40.0,3.0,2.0,1.0,0.0,33.3
18,Paul Bernardoni,fr FRA,GK,Angers,Ligue 1,24.0,1997.0,13.0,13.0,1170.0,13.0,19.0,1.46,46.0,27.0,65.2,4.0,5.0,4.0,4.0,30.8,3.0,3.0,0.0,0.0,0.0
19,Paul Bernardoni,fr FRA,GK,Saint-Étienne,Ligue 1,24.0,1997.0,19.0,19.0,1710.0,19.0,37.0,1.95,93.0,58.0,65.6,5.0,5.0,9.0,3.0,15.8,5.0,5.0,0.0,0.0,0.0
20,Dimitry Bertaud,fr FRA,GK,Montpellier,Ligue 1,23.0,1998.0,11.0,9.0,833.0,9.3,20.0,2.16,57.0,37.0,68.4,2.0,3.0,4.0,2.0,22.2,2.0,2.0,0.0,0.0,0.0
21,Marco Bizot,nl NED,GK,Brest,Ligue 1,30.0,1991.0,38.0,38.0,3420.0,38.0,57.0,1.5,170.0,115.0,68.8,13.0,9.0,16.0,7.0,18.4,4.0,4.0,0.0,0.0,0.0
22,Yassine Bounou,ma MAR,GK,Sevilla,La Liga,30.0,1991.0,31.0,31.0,2790.0,31.0,24.0,0.77,100.0,75.0,78.0,14.0,13.0,4.0,13.0,41.9,4.0,2.0,1.0,1.0,33.3
23,Claudio Bravo,cl CHI,GK,Betis,La Liga,38.0,1983.0,17.0,17.0,1456.0,16.2,19.0,1.17,56.0,39.0,67.9,8.0,4.0,5.0,5.0,29.4,1.0,1.0,0.0,0.0,0.0
24,Fabian Bredlow,de GER,GK,Stuttgart,Bundesliga,26.0,1995.0,4.0,4.0,360.0,4.0,7.0,1.75,24.0,17.0,70.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,Sascha Burchert,de GER,GK,Greuther Fürth,Bundesliga,31.0,1989.0,14.0,14.0,1260.0,14.0,28.0,2.0,72.0,46.0,65.3,2.0,4.0,8.0,3.0,21.4,3.0,3.0,0.0,0.0,0.0
27,Roman Bürki,ch SUI,GK,Dortmund,Bundesliga,30.0,1990.0,1.0,1.0,90.0,1.0,1.0,1.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
28,Jack Butland,eng ENG,GK,Crystal Palace,Premier League,28.0,1993.0,9.0,8.0,765.0,8.5,13.0,1.53,28.0,16.0,53.6,2.0,4.0,2.0,1.0,12.5,1.0,0.0,1.0,0.0,100.0
29,Marcin Bułka,pl POL,GK,Nice,Ligue 1,21.0,1999.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,Willy Caballero,ar ARG,GK,Southampton,Premier League,39.0,1981.0,2.0,2.0,180.0,2.0,5.0,2.5,11.0,6.0,54.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,Marc-Aurèle Caillard,fr FRA,GK,Metz,Ligue 1,27.0,1994.0,19.0,17.0,1542.0,17.1,30.0,1.75,87.0,57.0,67.8,4.0,5.0,8.0,5.0,29.4,2.0,2.0,0.0,0.0,0.0
32,Cárdenas,es ESP,GK,Levante,La Liga,24.0,1997.0,24.0,24.0,2160.0,24.0,46.0,1.92,120.0,74.0,65.0,6.0,6.0,12.0,5.0,20.8,4.0,4.0,0.0,0.0,0.0
33,Kiko Casilla,es ESP,GK,Elche,La Liga,34.0,1986.0,14.0,14.0,1260.0,14.0,17.0,1.21,60.0,43.0,71.7,3.0,4.0,7.0,3.0,21.4,0.0,0.0,0.0,0.0,
34,Koen Casteels,be BEL,GK,Wolfsburg,Bundesliga,29.0,1992.0,28.0,28.0,2520.0,28.0,40.0,1.43,118.0,76.0,68.6,11.0,6.0,11.0,10.0,35.7,6.0,3.0,2.0,1.0,40.0
35,Leonardo César Jardim,br BRA,GK,Lille,Ligue 1,26.0,1995.0,17.0,17.0,1530.0,17.0,20.0,1.18,62.0,47.0,74.2,6.0,6.0,5.0,8.0,47.1,5.0,4.0,1.0,0.0,20.0
36,Jasper Cillessen,nl NED,GK,Valencia,La Liga,32.0,1989.0,17.0,17.0,1457.0,16.2,29.0,1.79,77.0,49.0,68.8,4.0,8.0,5.0,3.0,17.6,6.0,5.0,1.0,0.0,16.7
37,Diego Conde,es ESP,GK,Getafe,La Liga,22.0,1998.0,1.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,
38,Andrea Consigli,it ITA,GK,Sassuolo,Serie A,34.0,1987.0,37.0,37.0,3322.0,36.9,63.0,1.71,171.0,108.0,67.8,13.0,11.0,13.0,3.0,8.1,9.0,8.0,1.0,0.0,11.1
39,Benoît Costil,fr FRA,GK,Bordeaux,Ligue 1,34.0,1987.0,25.0,25.0,2250.0,25.0,62.0,2.48,133.0,72.0,57.1,3.0,8.0,14.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
40,Thibaut Courtois,be BEL,GK,Real Madrid,La Liga,29.0,1992.0,36.0,36.0,3240.0,36.0,29.0,0.81,120.0,91.0,77.5,26.0,7.0,3.0,16.0,44.4,3.0,2.0,1.0,0.0,33.3
41,Alessio Cragno,it ITA,GK,Cagliari,Serie A,27.0,1994.0,35.0,35.0,3150.0,35.0,63.0,1.8,168.0,104.0,66.1,6.0,10.0,19.0,2.0,5.7,8.0,6.0,2.0,0.0,25.0
42,Finn Dahmen,de GER,GK,Mainz 05,Bundesliga,23.0,1998.0,2.0,2.0,180.0,2.0,3.0,1.5,5.0,2.0,60.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
43,Karl Darlow,eng ENG,GK,Newcastle Utd,Premier League,30.0,1990.0,8.0,8.0,720.0,8.0,15.0,1.87,37.0,23.0,64.9,0.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
44,Arthur Desmas,fr FRA,GK,Clermont Foot,Ligue 1,27.0,1994.0,15.0,15.0,1304.0,14.5,33.0,2.28,66.0,34.0,54.5,3.0,5.0,7.0,3.0,20.0,3.0,3.0,0.0,0.0,0.0
45,Javier Díaz,es ESP,GK,Sevilla,La Liga,24.0,1997.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,La Liga,27.0,1993.0,31.0,30.0,2772.0,30.8,37.0,1.2,126.0,88.0,76.2,11.0,8.0,11.0,9.0,30.0,9.0,7.0,2.0,0.0,22.2
47,Matías Dituro,ar ARG,GK,Celta Vigo,La Liga,34.0,1987.0,38.0,38.0,3420.0,38.0,43.0,1.13,136.0,91.0,71.3,12.0,10.0,16.0,14.0,36.8,8.0,4.0,4.0,0.0,50.0
48,Ouparine Djoco,sn SEN,GK,Clermont Foot,Ligue 1,23.0,1998.0,24.0,23.0,2116.0,23.5,36.0,1.53,99.0,65.0,65.7,6.0,4.0,13.0,5.0,21.7,2.0,2.0,0.0,0.0,0.0
49,Marko Dmitrović,rs SRB,GK,Sevilla,La Liga,29.0,1992.0,6.0,6.0,540.0,6.0,5.0,0.83,19.0,14.0,73.7,4.0,2.0,0.0,4.0,66.7,0.0,0.0,0.0,0.0,
50,Jaume Doménech,es ESP,GK,Valencia,La Liga,30.0,1990.0,4.0,3.0,343.0,3.8,4.0,1.05,11.0,8.0,63.6,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,
52,Gianluigi Donnarumma,it ITA,GK,Paris S-G,Ligue 1,22.0,1999.0,17.0,17.0,1530.0,17.0,17.0,1.0,61.0,45.0,73.8,13.0,2.0,2.0,5.0,29.4,1.0,1.0,0.0,0.0,0.0
53,Bartłomiej Drągowski,pl POL,GK,Fiorentina,Serie A,23.0,1997.0,7.0,7.0,556.0,6.2,8.0,1.29,26.0,17.0,73.1,3.0,0.0,4.0,2.0,28.6,2.0,1.0,1.0,0.0,50.0
54,Matthieu Dreyer,fr FRA,GK,Lorient,Ligue 1,32.0,1989.0,16.0,16.0,1440.0,16.0,25.0,1.56,57.0,32.0,57.9,5.0,4.0,7.0,7.0,43.8,1.0,1.0,0.0,0.0,0.0
55,Martin Dúbravka,sk SVK,GK,Newcastle Utd,Premier League,32.0,1989.0,26.0,26.0,2340.0,26.0,35.0,1.35,106.0,72.0,67.9,13.0,4.0,9.0,8.0,30.8,1.0,1.0,0.0,0.0,0.0
56,Ederson,br BRA,GK,Manchester City,Premier League,27.0,1993.0,37.0,37.0,3330.0,37.0,26.0,0.7,83.0,57.0,69.9,28.0,6.0,3.0,20.0,54.1,1.0,1.0,0.0,0.0,0.0
57,Aarón Escandell,es ESP,GK,Granada,La Liga,25.0,1995.0,4.0,3.0,284.0,3.2,6.0,1.9,16.0,10.0,75.0,0.0,2.0,1.0,1.0,33.3,2.0,2.0,0.0,0.0,0.0
58,Michael Esser,de GER,GK,Bochum,Bundesliga,33.0,1987.0,3.0,3.0,270.0,3.0,7.0,2.33,21.0,14.0,76.2,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
59,Łukasz Fabiański,pl POL,GK,West Ham,Premier League,36.0,1985.0,37.0,37.0,3330.0,37.0,50.0,1.35,162.0,111.0,70.4,16.0,8.0,13.0,8.0,21.6,6.0,2.0,3.0,1.0,60.0
60,Wladimiro Falcone,it ITA,GK,Sampdoria,Serie A,26.0,1995.0,10.0,9.0,855.0,9.5,14.0,1.47,54.0,41.0,75.9,2.0,1.0,6.0,2.0,22.2,1.0,1.0,0.0,0.0,0.0
61,Wuilker Faríñez,ve VEN,GK,Lens,Ligue 1,23.0,1998.0,13.0,11.0,1105.0,12.3,15.0,1.22,45.0,30.0,68.9,7.0,3.0,1.0,3.0,27.3,1.0,1.0,0.0,0.0,0.0
62,Aitor Fernández,es ESP,GK,Levante,La Liga,30.0,1991.0,13.0,13.0,1166.0,13.0,29.0,2.24,81.0,51.0,65.4,1.0,5.0,7.0,2.0,15.4,2.0,1.0,1.0,0.0,50.0
63,Álvaro Fernández,es ESP,GK,Brentford,Premier League,23.0,1998.0,12.0,12.0,1080.0,12.0,24.0,2.0,69.0,47.0,66.7,3.0,2.0,7.0,1.0,8.3,1.0,1.0,0.0,0.0,0.0
64,Vincenzo Fiorillo,it ITA,GK,Salernitana,Serie A,31.0,1990.0,1.0,1.0,90.0,1.0,5.0,5.0,8.0,3.0,37.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
65,Mark Flekken,nl NED,GK,Freiburg,Bundesliga,28.0,1993.0,32.0,32.0,2880.0,32.0,39.0,1.22,141.0,103.0,73.8,15.0,9.0,8.0,10.0,31.3,2.0,2.0,0.0,0.0,0.0
66,Fraser Forster,eng ENG,GK,Southampton,Premier League,33.0,1988.0,19.0,19.0,1710.0,19.0,35.0,1.84,101.0,68.0,67.3,6.0,5.0,8.0,3.0,15.8,2.0,2.0,0.0,0.0,0.0
67,Ben Foster,eng ENG,GK,Watford,Premier League,38.0,1983.0,26.0,26.0,2340.0,26.0,49.0,1.88,116.0,67.0,60.3,5.0,5.0,16.0,4.0,15.4,4.0,3.0,1.0,0.0,25.0
68,Christian Früchtl,de GER,GK,Bayern Munich,Bundesliga,21.0,2000.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
69,Marius Funk,de GER,GK,Greuther Fürth,Bundesliga,25.0,1996.0,8.0,8.0,720.0,8.0,30.0,3.75,54.0,26.0,48.1,0.0,0.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
70,Gauthier Gallon,fr FRA,GK,Troyes,Ligue 1,28.0,1993.0,31.0,31.0,2790.0,31.0,45.0,1.45,135.0,92.0,72.6,8.0,8.0,15.0,8.0,25.8,8.0,8.0,0.0,0.0,0.0
71,Joan García,es ESP,GK,Espanyol,La Liga,20.0,2001.0,2.0,1.0,108.0,1.2,3.0,2.5,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
72,David de Gea,es ESP,GK,Manchester Utd,Premier League,30.0,1990.0,38.0,38.0,3420.0,38.0,57.0,1.5,180.0,124.0,70.0,16.0,10.0,12.0,8.0,21.1,5.0,3.0,2.0,0.0,40.0
73,Luca Gemello,it ITA,GK,Torino,Serie A,21.0,2000.0,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
74,Rafał Gikiewicz,pl POL,GK,Augsburg,Bundesliga,33.0,1987.0,34.0,34.0,3060.0,34.0,56.0,1.65,156.0,102.0,67.3,10.0,8.0,16.0,9.0,26.5,5.0,5.0,0.0,0.0,0.0
75,Alfred Gomis,sn SEN,GK,Rennes,Ligue 1,27.0,1993.0,25.0,25.0,2250.0,25.0,25.0,1.0,67.0,43.0,68.7,14.0,5.0,6.0,10.0,40.0,4.0,4.0,0.0,0.0,0.0
76,Jens Grahl,de GER,GK,Eint Frankfurt,Bundesliga,32.0,1988.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
78,Ivo Grbić,hr CRO,GK,Lille,Ligue 1,25.0,1996.0,21.0,21.0,1890.0,21.0,28.0,1.33,85.0,58.0,69.4,8.0,7.0,6.0,2.0,9.5,2.0,2.0,0.0,0.0,0.0
79,Etienne Green,eng ENG,GK,Saint-Étienne,Ligue 1,21.0,2000.0,15.0,15.0,1197.0,13.3,27.0,2.03,67.0,42.0,61.2,2.0,5.0,8.0,1.0,6.7,1.0,1.0,0.0,0.0,0.0
80,Dominik Greif,sk SVK,GK,Mallorca,La Liga,24.0,1997.0,1.0,1.0,90.0,1.0,3.0,3.0,6.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
81,Lennart Grill,de GER,GK,Leverkusen,Bundesliga,22.0,1999.0,1.0,1.0,90.0,1.0,2.0,2.0,6.0,5.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
82,Vicente Guaita,es ESP,GK,Crystal Palace,Premier League,34.0,1987.0,30.0,30.0,2655.0,29.5,33.0,1.12,116.0,83.0,74.1,9.0,11.0,10.0,11.0,36.7,3.0,3.0,0.0,0.0,0.0
83,Péter Gulácsi,hu HUN,GK,RB Leipzig,Bundesliga,31.0,1990.0,33.0,33.0,2967.0,33.0,34.0,1.03,111.0,78.0,72.1,17.0,7.0,9.0,9.0,27.3,3.0,3.0,0.0,0.0,0.0
84,Angus Gunn,sct SCO,GK,Norwich City,Premier League,25.0,1996.0,9.0,9.0,810.0,9.0,22.0,2.44,57.0,34.0,64.9,1.0,2.0,6.0,1.0,11.1,4.0,2.0,1.0,1.0,33.3
85,Samir Handanović,si SVN,GK,Inter,Serie A,37.0,1984.0,37.0,37.0,3330.0,37.0,30.0,0.81,124.0,95.0,79.0,25.0,9.0,3.0,15.0,40.5,4.0,4.0,0.0,0.0,0.0
86,Wayne Hennessey,wls WAL,GK,Burnley,Premier League,34.0,1987.0,2.0,2.0,180.0,2.0,6.0,3.0,13.0,8.0,53.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
87,Sergio Herrera,es ESP,GK,Osasuna,La Liga,28.0,1993.0,36.0,36.0,3240.0,36.0,48.0,1.33,147.0,97.0,70.1,12.0,10.0,14.0,12.0,33.3,7.0,4.0,3.0,0.0,42.9
88,Marwin Hitz,ch SUI,GK,Dortmund,Bundesliga,33.0,1987.0,5.0,4.0,405.0,4.5,12.0,2.67,25.0,13.0,60.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
89,Timo Horn,de GER,GK,Köln,Bundesliga,28.0,1993.0,13.0,13.0,1170.0,13.0,21.0,1.62,56.0,36.0,62.5,4.0,6.0,3.0,1.0,7.7,0.0,0.0,0.0,0.0,
90,Lukáš Hrádecký,fi FIN,GK,Leverkusen,Bundesliga,31.0,1989.0,32.0,32.0,2880.0,32.0,44.0,1.37,154.0,109.0,72.7,17.0,7.0,8.0,8.0,25.0,4.0,2.0,1.0,1.0,33.3
91,Stefanos Kapino,gr GRE,GK,Arminia,Bundesliga,27.0,1994.0,1.0,1.0,90.0,1.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
92,Eiji Kawashima,jp JPN,GK,Strasbourg,Ligue 1,38.0,1983.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
93,Caoimhín Kelleher,ie IRL,GK,Liverpool,Premier League,22.0,1998.0,2.0,2.0,180.0,2.0,2.0,1.0,8.0,6.0,75.0,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,
94,Kristoffer Klaesson,no NOR,GK,Leeds United,Premier League,20.0,2000.0,1.0,0.0,36.0,0.4,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
95,Gregor Kobel,ch SUI,GK,Dortmund,Bundesliga,23.0,1997.0,29.0,29.0,2565.0,28.5,39.0,1.37,110.0,73.0,67.3,20.0,3.0,6.0,7.0,24.1,3.0,3.0,0.0,0.0,0.0
96,Tim Krul,nl NED,GK,Norwich City,Premier League,33.0,1988.0,29.0,29.0,2610.0,29.0,62.0,2.14,165.0,105.0,66.7,4.0,5.0,20.0,5.0,17.2,8.0,7.0,0.0,1.0,0.0
97,Alban Lafont,fr FRA,GK,Nantes,Ligue 1,22.0,1999.0,38.0,38.0,3420.0,38.0,48.0,1.26,155.0,105.0,71.6,15.0,10.0,13.0,8.0,21.1,7.0,4.0,3.0,0.0,42.9
98,Jean-Louis Leca,fr FRA,GK,Lens,Ligue 1,35.0,1985.0,27.0,27.0,2313.0,25.7,33.0,1.28,100.0,66.0,70.0,10.0,8.0,9.0,5.0,18.5,4.0,3.0,1.0,0.0,25.0
99,Jeremías Ledesma,ar ARG,GK,Cádiz,La Liga,28.0,1993.0,38.0,38.0,3420.0,38.0,51.0,1.34,170.0,117.0,76.5,8.0,15.0,15.0,13.0,34.2,13.0,11.0,2.0,0.0,15.4
100,Bernd Leno,de GER,GK,Arsenal,Premier League,29.0,1992.0,4.0,4.0,360.0,4.0,9.0,2.25,19.0,10.0,52.6,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,
101,Alexandre Letellier,fr FRA,GK,Paris S-G,Ligue 1,30.0,1990.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,
102,Luca Lezzerini,it ITA,GK,Venezia,Serie A,26.0,1995.0,6.0,6.0,495.0,5.5,9.0,1.64,39.0,30.0,76.9,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,
104,Andreas Linde,se SWE,GK,Greuther Fürth,Bundesliga,28.0,1993.0,12.0,12.0,1080.0,12.0,24.0,2.0,62.0,39.0,62.9,1.0,5.0,6.0,3.0,25.0,1.0,1.0,0.0,0.0,0.0
105,Hugo Lloris,fr FRA,GK,Tottenham,Premier League,34.0,1986.0,38.0,38.0,3420.0,38.0,40.0,1.05,137.0,98.0,72.3,22.0,5.0,11.0,16.0,42.1,2.0,2.0,0.0,0.0,0.0
106,Anthony Lopes,pt POR,GK,Lyon,Ligue 1,30.0,1990.0,34.0,34.0,2982.0,33.1,45.0,1.36,148.0,105.0,71.6,14.0,11.0,9.0,8.0,23.5,4.0,3.0,1.0,0.0,25.0
107,Diego López,es ESP,GK,Espanyol,La Liga,39.0,1981.0,36.0,36.0,3177.0,35.3,49.0,1.39,157.0,110.0,70.7,10.0,12.0,14.0,9.0,25.0,4.0,3.0,0.0,1.0,0.0
108,Pau López,es ESP,GK,Marseille,Ligue 1,26.0,1994.0,29.0,29.0,2610.0,29.0,31.0,1.07,86.0,55.0,68.6,15.0,6.0,8.0,10.0,34.5,4.0,4.0,0.0,0.0,0.0
109,Jonas Lössl,dk DEN,GK,Brentford,Premier League,32.0,1989.0,2.0,2.0,180.0,2.0,5.0,2.5,7.0,2.0,28.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
110,Marcel Lotka,pl POL,GK,Hertha BSC,Bundesliga,20.0,2001.0,10.0,9.0,885.0,9.8,20.0,2.03,49.0,29.0,65.3,2.0,1.0,6.0,2.0,22.2,3.0,3.0,0.0,0.0,0.0
