,Squad,Comp,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
0,Alavés,La Liga,25.0,38.0,117.0,5.0,3.0,548.0,485.0,92.0,643.0,565.0,558.0,4.0,6.0,2.0
1,Angers,Ligue 1,29.0,38.0,0.0,1.0,1.0,435.0,386.0,55.0,732.0,570.0,496.0,4.0,2.0,4.0
2,Arsenal,Premier League,29.0,38.0,0.0,0.0,0.0,394.0,390.0,99.0,701.0,558.0,492.0,4.0,10.0,1.0
3,Atalanta,Serie A,32.0,38.0,0.0,2.0,2.0,600.0,555.0,80.0,863.0,698.0,491.0,6.0,4.0,1.0
4,Athletic Club,La Liga,25.0,38.0,88.0,2.0,1.0,528.0,529.0,76.0,912.0,593.0,581.0,6.0,3.0,0.0
5,Atlético Madrid,La Liga,22.0,38.0,82.0,3.0,3.0,510.0,474.0,117.0,660.0,645.0,600.0,7.0,4.0,0.0
6,Augsburg,Bundesliga,28.0,34.0,0.0,2.0,2.0,481.0,441.0,68.0,426.0,794.0,512.0,4.0,4.0,1.0
7,Barcelona,La Liga,25.0,38.0,74.0,1.0,1.0,427.0,577.0,118.0,551.0,445.0,463.0,8.0,0.0,2.0
8,Bastia,Ligue 1,29.0,38.0,0.0,7.0,7.0,445.0,501.0,50.0,580.0,608.0,472.0,1.0,8.0,2.0
9,Bayern Munich,Bundesliga,22.0,34.0,0.0,0.0,0.0,351.0,411.0,92.0,661.0,686.0,421.0,4.0,3.0,0.0
10,Betis,La Liga,27.0,38.0,103.0,5.0,3.0,583.0,576.0,87.0,645.0,593.0,560.0,2.0,5.0,0.0
11,Bologna,Serie A,28.0,38.0,0.0,2.0,2.0,485.0,519.0,96.0,627.0,605.0,534.0,1.0,5.0,2.0
12,Bordeaux,Ligue 1,27.0,38.0,0.0,1.0,1.0,441.0,501.0,103.0,690.0,516.0,563.0,6.0,4.0,2.0
13,Bournemouth,Premier League,27.0,38.0,0.0,2.0,2.0,372.0,492.0,54.0,642.0,481.0,466.0,11.0,4.0,4.0
14,Burnley,Premier League,27.0,38.0,0.0,1.0,1.0,428.0,415.0,103.0,676.0,569.0,473.0,4.0,5.0,2.0
15,Caen,Ligue 1,27.0,38.0,0.0,1.0,1.0,439.0,457.0,57.0,963.0,693.0,556.0,6.0,8.0,2.0
16,Cagliari,Serie A,34.0,38.0,0.0,3.0,3.0,543.0,505.0,99.0,553.0,574.0,556.0,7.0,12.0,2.0
17,Celta Vigo,La Liga,27.0,38.0,105.0,8.0,6.0,516.0,516.0,101.0,481.0,627.0,550.0,6.0,10.0,2.0
18,Chelsea,Premier League,24.0,38.0,0.0,0.0,0.0,394.0,474.0,65.0,697.0,523.0,482.0,4.0,2.0,1.0
19,Chievo,Serie A,29.0,38.0,0.0,3.0,3.0,565.0,535.0,103.0,722.0,536.0,463.0,6.0,6.0,1.0
20,Crotone,Serie A,31.0,38.0,0.0,3.0,3.0,584.0,478.0,111.0,748.0,620.0,533.0,3.0,10.0,0.0
21,Crystal Palace,Premier League,31.0,38.0,0.0,0.0,0.0,471.0,470.0,57.0,880.0,575.0,521.0,6.0,2.0,0.0
22,Darmstadt 98,Bundesliga,31.0,34.0,0.0,5.0,5.0,496.0,450.0,87.0,446.0,688.0,484.0,6.0,8.0,2.0
23,Dijon,Ligue 1,27.0,38.0,0.0,3.0,3.0,493.0,472.0,80.0,698.0,628.0,600.0,3.0,11.0,1.0
24,Dortmund,Bundesliga,27.0,34.0,0.0,1.0,1.0,334.0,550.0,81.0,468.0,566.0,432.0,5.0,2.0,1.0
25,Eibar,La Liga,24.0,38.0,94.0,7.0,2.0,522.0,385.0,92.0,920.0,676.0,526.0,6.0,6.0,1.0
26,Eint Frankfurt,Bundesliga,26.0,34.0,0.0,1.0,1.0,527.0,468.0,69.0,518.0,849.0,436.0,5.0,4.0,1.0
27,Empoli,Serie A,29.0,38.0,0.0,0.0,0.0,535.0,609.0,94.0,752.0,529.0,471.0,4.0,11.0,2.0
28,Espanyol,La Liga,27.0,38.0,80.0,2.0,2.0,572.0,497.0,62.0,674.0,607.0,583.0,3.0,2.0,1.0
29,Everton,Premier League,27.0,38.0,0.0,1.0,1.0,457.0,419.0,83.0,775.0,472.0,557.0,3.0,5.0,1.0
30,Fiorentina,Serie A,30.0,38.0,0.0,3.0,3.0,537.0,535.0,87.0,833.0,504.0,434.0,7.0,6.0,0.0
31,Freiburg,Bundesliga,25.0,34.0,0.0,0.0,0.0,429.0,468.0,58.0,351.0,566.0,471.0,8.0,6.0,0.0
32,Genoa,Serie A,33.0,38.0,0.0,4.0,4.0,625.0,450.0,86.0,917.0,526.0,510.0,2.0,10.0,5.0
33,Granada,La Liga,35.0,38.0,112.0,6.0,4.0,559.0,442.0,62.0,623.0,620.0,477.0,1.0,4.0,1.0
34,Guingamp,Ligue 1,25.0,38.0,0.0,3.0,3.0,501.0,506.0,101.0,735.0,576.0,480.0,4.0,11.0,1.0
35,Hamburger SV,Bundesliga,29.0,34.0,0.0,2.0,2.0,549.0,456.0,79.0,501.0,737.0,553.0,2.0,6.0,1.0
36,Hertha BSC,Bundesliga,26.0,34.0,0.0,2.0,2.0,471.0,482.0,55.0,426.0,676.0,457.0,5.0,5.0,1.0
37,Hoffenheim,Bundesliga,23.0,34.0,0.0,0.0,0.0,502.0,518.0,84.0,417.0,676.0,424.0,5.0,3.0,2.0
38,Hull City,Premier League,28.0,38.0,0.0,0.0,0.0,403.0,390.0,71.0,748.0,587.0,474.0,2.0,14.0,5.0
39,Ingolstadt 04,Bundesliga,22.0,34.0,0.0,3.0,3.0,538.0,549.0,77.0,559.0,733.0,500.0,7.0,9.0,2.0
40,Inter,Serie A,29.0,38.0,0.0,3.0,3.0,540.0,516.0,81.0,1212.0,570.0,571.0,4.0,6.0,1.0
41,Juventus,Serie A,27.0,38.0,0.0,0.0,0.0,484.0,562.0,95.0,786.0,557.0,457.0,2.0,1.0,1.0
42,Köln,Bundesliga,26.0,34.0,0.0,1.0,1.0,466.0,472.0,95.0,410.0,729.0,484.0,4.0,4.0,1.0
43,La Coruña,La Liga,28.0,38.0,95.0,4.0,2.0,546.0,523.0,69.0,879.0,563.0,531.0,7.0,3.0,2.0
44,Las Palmas,La Liga,29.0,38.0,102.0,6.0,4.0,471.0,632.0,88.0,462.0,523.0,440.0,6.0,11.0,1.0
45,Lazio,Serie A,30.0,38.0,0.0,3.0,3.0,542.0,432.0,106.0,792.0,538.0,591.0,12.0,9.0,3.0
46,Leganés,La Liga,31.0,38.0,106.0,3.0,1.0,648.0,475.0,90.0,663.0,671.0,546.0,4.0,7.0,0.0
47,Leicester City,Premier League,25.0,38.0,0.0,0.0,0.0,447.0,332.0,65.0,735.0,559.0,508.0,5.0,4.0,2.0
48,Leverkusen,Bundesliga,24.0,34.0,0.0,3.0,3.0,462.0,399.0,78.0,407.0,708.0,516.0,7.0,3.0,1.0
49,Lille,Ligue 1,31.0,38.0,0.0,3.0,3.0,540.0,533.0,57.0,685.0,583.0,465.0,8.0,6.0,1.0
50,Liverpool,Premier League,23.0,38.0,0.0,0.0,0.0,396.0,383.0,78.0,815.0,425.0,540.0,5.0,5.0,0.0
51,Lorient,Ligue 1,30.0,38.0,0.0,0.0,0.0,439.0,383.0,73.0,770.0,595.0,431.0,4.0,6.0,2.0
52,Lyon,Ligue 1,27.0,38.0,0.0,2.0,2.0,503.0,523.0,103.0,655.0,498.0,531.0,11.0,6.0,1.0
53,M'Gladbach,Bundesliga,24.0,34.0,0.0,2.0,2.0,411.0,445.0,88.0,396.0,655.0,518.0,2.0,5.0,0.0
54,Mainz 05,Bundesliga,28.0,34.0,0.0,3.0,3.0,480.0,477.0,107.0,491.0,787.0,472.0,7.0,4.0,0.0
55,Málaga,La Liga,29.0,38.0,111.0,7.0,5.0,560.0,528.0,87.0,792.0,663.0,562.0,5.0,9.0,0.0
56,Manchester City,Premier League,25.0,38.0,0.0,0.0,0.0,395.0,427.0,93.0,810.0,527.0,476.0,9.0,5.0,1.0
57,Manchester Utd,Premier League,31.0,38.0,0.0,1.0,1.0,498.0,443.0,102.0,852.0,610.0,507.0,2.0,5.0,1.0
58,Marseille,Ligue 1,27.0,38.0,0.0,1.0,1.0,520.0,386.0,105.0,693.0,596.0,538.0,4.0,2.0,1.0
59,Metz,Ligue 1,31.0,38.0,,,2.0,515.0,436.0,91.0,698.0,697.0,502.0,9.0,7.0,1.0
60,Middlesbrough,Premier League,27.0,38.0,0.0,1.0,1.0,480.0,399.0,51.0,735.0,570.0,558.0,2.0,5.0,0.0
61,Milan,Serie A,28.0,38.0,0.0,9.0,9.0,519.0,518.0,98.0,799.0,411.0,487.0,10.0,10.0,2.0
62,Monaco,Ligue 1,29.0,38.0,0.0,1.0,1.0,465.0,449.0,84.0,949.0,534.0,525.0,11.0,5.0,0.0
63,Montpellier,Ligue 1,32.0,38.0,0.0,2.0,2.0,401.0,455.0,66.0,821.0,595.0,467.0,1.0,8.0,2.0
64,Nancy,Ligue 1,27.0,38.0,0.0,1.0,1.0,499.0,459.0,127.0,685.0,659.0,525.0,1.0,9.0,2.0
65,Nantes,Ligue 1,27.0,38.0,0.0,1.0,1.0,543.0,395.0,108.0,814.0,524.0,642.0,4.0,9.0,1.0
66,Napoli,Serie A,26.0,38.0,0.0,0.0,0.0,376.0,430.0,85.0,790.0,442.0,487.0,6.0,7.0,1.0
67,Nice,Ligue 1,27.0,38.0,0.0,1.0,1.0,424.0,572.0,75.0,411.0,434.0,472.0,8.0,5.0,1.0
68,Osasuna,La Liga,35.0,38.0,99.0,3.0,1.0,574.0,415.0,76.0,648.0,677.0,545.0,5.0,10.0,3.0
69,Palermo,Serie A,30.0,38.0,0.0,6.0,6.0,568.0,534.0,87.0,665.0,657.0,494.0,1.0,6.0,1.0
70,Paris S-G,Ligue 1,28.0,38.0,0.0,1.0,1.0,404.0,409.0,129.0,909.0,521.0,478.0,10.0,3.0,1.0
71,Pescara,Serie A,34.0,38.0,0.0,3.0,3.0,551.0,537.0,117.0,661.0,549.0,512.0,7.0,6.0,1.0
72,RB Leipzig,Bundesliga,23.0,34.0,0.0,1.0,1.0,508.0,471.0,120.0,429.0,770.0,582.0,4.0,5.0,1.0
73,Real Madrid,La Liga,24.0,38.0,76.0,2.0,0.0,434.0,544.0,137.0,857.0,517.0,572.0,5.0,4.0,1.0
74,Real Sociedad,La Liga,27.0,38.0,84.0,6.0,5.0,536.0,589.0,84.0,829.0,603.0,456.0,7.0,7.0,2.0
75,Rennes,Ligue 1,31.0,38.0,,,1.0,460.0,418.0,80.0,672.0,499.0,523.0,3.0,4.0,1.0
76,Roma,Serie A,22.0,38.0,0.0,0.0,0.0,461.0,488.0,88.0,916.0,622.0,526.0,12.0,4.0,0.0
77,Saint-Étienne,Ligue 1,34.0,38.0,,,2.0,484.0,449.0,95.0,761.0,641.0,502.0,6.0,4.0,0.0
78,Sampdoria,Serie A,24.0,38.0,0.0,1.0,1.0,511.0,502.0,81.0,782.0,468.0,511.0,6.0,8.0,0.0
79,Sassuolo,Serie A,28.0,38.0,0.0,0.0,0.0,517.0,541.0,75.0,751.0,590.0,534.0,8.0,9.0,1.0
80,Schalke 04,Bundesliga,29.0,34.0,0.0,0.0,0.0,494.0,441.0,96.0,566.0,805.0,450.0,4.0,10.0,1.0
81,Sevilla,La Liga,28.0,38.0,107.0,4.0,2.0,589.0,524.0,126.0,661.0,522.0,521.0,5.0,5.0,1.0
82,Southampton,Premier League,26.0,38.0,0.0,1.0,1.0,426.0,415.0,75.0,960.0,539.0,507.0,5.0,9.0,0.0
83,Sporting Gijón,La Liga,29.0,38.0,114.0,4.0,2.0,574.0,498.0,78.0,676.0,552.0,517.0,7.0,9.0,2.0
84,Stoke City,Premier League,26.0,38.0,0.0,1.0,1.0,434.0,440.0,87.0,725.0,528.0,489.0,5.0,2.0,5.0
85,Sunderland,Premier League,31.0,38.0,0.0,3.0,3.0,437.0,392.0,80.0,633.0,574.0,495.0,3.0,4.0,2.0
86,Swansea City,Premier League,27.0,38.0,0.0,0.0,0.0,399.0,425.0,50.0,867.0,471.0,481.0,3.0,10.0,5.0
87,Torino,Serie A,29.0,38.0,0.0,3.0,3.0,581.0,497.0,91.0,750.0,594.0,508.0,10.0,7.0,1.0
88,Tottenham,Premier League,24.0,38.0,0.0,0.0,0.0,431.0,463.0,74.0,763.0,331.0,512.0,9.0,2.0,1.0
89,Toulouse,Ligue 1,30.0,38.0,,,1.0,558.0,470.0,47.0,639.0,554.0,536.0,9.0,9.0,0.0
90,Udinese,Serie A,29.0,38.0,0.0,0.0,0.0,481.0,516.0,42.0,853.0,526.0,507.0,3.0,9.0,2.0
91,Valencia,La Liga,31.0,38.0,111.0,6.0,3.0,556.0,569.0,90.0,668.0,628.0,621.0,5.0,13.0,2.0
92,Villarreal,La Liga,27.0,38.0,90.0,4.0,1.0,523.0,500.0,84.0,514.0,567.0,505.0,7.0,6.0,0.0
93,Watford,Premier League,33.0,38.0,0.0,3.0,3.0,514.0,417.0,63.0,696.0,532.0,468.0,3.0,4.0,2.0
94,Werder Bremen,Bundesliga,31.0,34.0,0.0,0.0,0.0,452.0,515.0,58.0,371.0,718.0,438.0,6.0,11.0,1.0
95,West Brom,Premier League,23.0,38.0,0.0,0.0,0.0,448.0,343.0,61.0,770.0,564.0,441.0,0.0,3.0,1.0
96,West Ham,Premier League,29.0,38.0,0.0,4.0,4.0,408.0,461.0,80.0,759.0,634.0,452.0,4.0,8.0,0.0
97,Wolfsburg,Bundesliga,31.0,34.0,0.0,2.0,2.0,498.0,486.0,61.0,548.0,701.0,438.0,3.0,5.0,1.0
