,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
0,Alaves,La Liga,30,28.7,42.8,38,418,3420,38.0,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,938,0.92,0.55,1.47,0.79,1.34,1.12,0.72,1.84,0.96,1.68
1,Angers,Ligue 1,31,27.9,46.4,38,418,3420,38.0,40,23,63,35,5,6,65,2,41.6,36.9,26.4,63.3,614,1435,1.05,0.61,1.66,0.92,1.53,1.1,0.7,1.79,0.97,1.67
2,Arminia,Bundesliga,26,26.0,42.3,34,374,3060,34.0,23,16,39,22,1,2,52,1,32.9,31.3,23.9,55.2,358,880,0.68,0.47,1.15,0.65,1.12,0.97,0.7,1.67,0.92,1.62
3,Arsenal,Premier League,29,25.9,53.5,38,418,3420,38.0,53,38,91,47,6,6,49,5,51.8,47.0,35.1,82.1,758,1760,1.39,1.0,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16
4,Aston Villa,Premier League,24,25.2,48.5,38,418,3420,38.0,52,38,90,47,5,6,71,4,52.5,47.9,37.4,85.3,629,1420,1.37,1.0,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25
5,Atalanta,Serie A,30,27.3,54.6,38,418,3420,38.0,90,65,155,84,6,7,67,3,74.7,69.3,55.5,124.7,874,2077,2.37,1.71,4.08,2.21,3.92,1.97,1.46,3.43,1.82,3.28
6,Athletic Club,La Liga,27,26.6,49.9,38,418,3420,38.0,43,31,74,39,4,5,82,3,43.1,39.2,31.3,70.5,685,1496,1.13,0.82,1.95,1.03,1.84,1.13,0.82,1.96,1.03,1.86
7,Atletico Madrid,La Liga,25,27.3,52.3,38,418,3420,38.0,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,1.71,1.42,3.13,1.58,3.0,1.39,1.07,2.46,1.24,2.31
8,Augsburg,Bundesliga,25,27.0,41.4,34,374,3060,34.0,35,23,58,33,2,5,70,4,37.3,33.4,25.9,59.3,431,987,1.03,0.68,1.71,0.97,1.65,1.1,0.76,1.86,0.98,1.74
9,Barcelona,La Liga,25,26.4,65.5,38,418,3420,38.0,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,2.11,1.34,3.45,2.0,3.34,1.94,1.4,3.33,1.77,3.16
10,Bayern Munich,Bundesliga,29,27.3,60.7,34,374,3060,34.0,98,75,173,89,9,10,44,3,75.9,68.1,55.2,123.3,829,2084,2.88,2.21,5.09,2.62,4.82,2.23,1.62,3.86,2.0,3.63
11,Benevento,Serie A,29,28.7,42.6,38,418,3420,38.0,40,26,66,35,5,7,95,5,40.6,35.0,27.6,62.6,512,1096,1.05,0.68,1.74,0.92,1.61,1.07,0.73,1.79,0.92,1.65
12,Betis,La Liga,25,27.9,53.6,38,418,3420,38.0,50,35,85,42,8,11,93,8,49.1,40.5,33.4,73.9,694,1441,1.32,0.92,2.24,1.11,2.03,1.29,0.88,2.17,1.07,1.94
13,Bologna,Serie A,37,27.2,50.8,38,418,3420,38.0,49,38,87,46,3,4,82,4,54.6,51.1,39.0,90.1,706,1516,1.29,1.0,2.29,1.21,2.21,1.44,1.03,2.47,1.34,2.37
14,Bordeaux,Ligue 1,28,27.6,49.8,38,418,3420,38.0,41,32,73,37,4,4,78,4,43.5,40.4,31.4,71.7,644,1303,1.08,0.84,1.92,0.97,1.82,1.14,0.83,1.97,1.06,1.89
15,Brest,Ligue 1,26,24.9,49.3,38,418,3420,38.0,48,31,79,45,3,4,62,4,50.0,46.8,36.0,82.8,685,1438,1.26,0.82,2.08,1.18,2.0,1.32,0.95,2.26,1.23,2.18
16,Brighton,Premier League,27,25.8,51.1,38,418,3420,38.0,39,24,63,33,6,9,49,6,50.9,43.8,33.2,77.0,685,1516,1.03,0.63,1.66,0.87,1.5,1.34,0.87,2.21,1.15,2.03
17,Burnley,Premier League,25,28.3,42.1,38,418,3420,38.0,32,20,52,29,3,3,48,0,39.3,36.9,27.7,64.6,389,1012,0.84,0.53,1.37,0.76,1.29,1.03,0.73,1.76,0.97,1.7
18,Cadiz,La Liga,34,28.8,34.8,38,418,3420,38.0,33,16,49,29,4,4,81,3,34.7,31.6,20.4,52.0,455,854,0.87,0.42,1.29,0.76,1.18,0.91,0.54,1.45,0.83,1.37
19,Cagliari,Serie A,32,26.5,44.8,38,418,3420,38.0,43,30,73,39,4,5,77,3,47.1,43.4,34.0,77.5,589,1228,1.13,0.79,1.92,1.03,1.82,1.24,0.9,2.14,1.14,2.04
20,Celta Vigo,La Liga,30,26.6,53.3,38,418,3420,38.0,55,39,94,48,7,7,109,5,50.4,44.9,36.7,81.6,514,1308,1.45,1.03,2.47,1.26,2.29,1.33,0.97,2.29,1.18,2.15
21,Chelsea,Premier League,27,26.0,60.9,38,418,3420,38.0,56,38,94,48,8,10,51,3,62.4,54.5,41.5,96.0,895,1798,1.47,1.0,2.47,1.26,2.26,1.64,1.09,2.73,1.43,2.53
22,Crotone,Serie A,31,27.8,46.3,38,418,3420,38.0,44,27,71,35,9,9,89,4,40.4,33.4,23.9,57.2,582,1217,1.16,0.71,1.87,0.92,1.63,1.06,0.63,1.69,0.88,1.51
23,Crystal Palace,Premier League,24,29.1,40.6,38,418,3420,38.0,39,29,68,36,3,4,56,2,34.1,31.0,23.6,54.6,526,1132,1.03,0.76,1.79,0.95,1.71,0.9,0.62,1.52,0.82,1.44
24,Dijon,Ligue 1,33,25.7,46.2,38,418,3420,38.0,25,15,40,22,3,5,76,5,33.7,29.9,22.6,52.6,528,1204,0.66,0.39,1.05,0.58,0.97,0.89,0.6,1.48,0.79,1.38
25,Dortmund,Bundesliga,26,25.6,59.6,34,374,3060,34.0,74,57,131,71,3,7,44,1,66.2,60.4,51.2,111.5,763,1745,2.18,1.68,3.85,2.09,3.76,1.95,1.5,3.45,1.78,3.28
26,Eibar,La Liga,30,28.2,49.3,38,418,3420,38.0,29,20,49,25,4,9,71,3,45.2,38.3,29.9,68.2,507,1295,0.76,0.53,1.29,0.66,1.18,1.19,0.79,1.98,1.01,1.79
27,Eint Frankfurt,Bundesliga,25,27.2,53.7,34,374,3060,34.0,63,52,115,55,8,8,82,1,58.5,52.2,44.0,96.2,664,1548,1.85,1.53,3.38,1.62,3.15,1.72,1.29,3.01,1.54,2.83
28,Elche,La Liga,30,28.1,47.5,38,418,3420,38.0,33,25,58,31,2,3,99,3,29.9,27.5,21.8,49.4,500,927,0.87,0.66,1.53,0.82,1.47,0.79,0.57,1.36,0.72,1.3
29,Everton,Premier League,29,26.3,46.4,38,418,3420,38.0,45,32,77,41,4,5,59,2,45.7,41.9,30.7,72.6,604,1184,1.18,0.84,2.03,1.08,1.92,1.2,0.81,2.01,1.1,1.91
30,Fiorentina,Serie A,30,26.6,46.3,38,418,3420,38.0,44,31,75,38,6,6,86,5,44.9,40.2,31.6,71.8,637,1353,1.16,0.82,1.97,1.0,1.82,1.18,0.83,2.01,1.06,1.89
31,Freiburg,Bundesliga,24,26.2,47.3,34,374,3060,34.0,51,34,85,45,6,6,62,0,45.5,40.9,29.5,70.4,463,1170,1.5,1.0,2.5,1.32,2.32,1.34,0.87,2.21,1.2,2.07
32,Fulham,Premier League,28,25.2,49.7,38,418,3420,38.0,26,18,44,23,3,6,67,3,40.5,35.9,26.3,62.2,727,1354,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64
33,Genoa,Serie A,34,28.3,44.8,38,418,3420,38.0,46,32,78,42,4,4,87,2,38.8,35.6,26.4,62.0,523,1165,1.21,0.84,2.05,1.11,1.95,1.02,0.69,1.72,0.94,1.63
34,Getafe,La Liga,31,26.7,43.3,38,418,3420,38.0,27,14,41,24,3,5,120,7,34.4,30.5,23.6,54.1,443,1090,0.71,0.37,1.08,0.63,1.0,0.91,0.62,1.53,0.8,1.42
35,Granada,La Liga,34,27.4,41.4,38,418,3420,38.0,47,30,77,44,3,5,97,6,41.1,37.3,26.8,64.0,411,975,1.24,0.79,2.03,1.16,1.95,1.08,0.7,1.79,0.98,1.68
36,Hellas Verona,Serie A,32,26.2,49.8,38,418,3420,38.0,38,30,68,35,3,3,91,1,45.3,43.0,33.5,76.5,599,1490,1.0,0.79,1.79,0.92,1.71,1.19,0.88,2.08,1.13,2.01
37,Hertha BSC,Bundesliga,32,25.4,49.6,34,374,3060,34.0,40,29,69,36,4,6,67,3,41.9,37.2,29.1,66.2,589,1176,1.18,0.85,2.03,1.06,1.91,1.23,0.86,2.09,1.09,1.95
38,Hoffenheim,Bundesliga,30,25.7,51.2,34,374,3060,34.0,51,38,89,46,5,6,68,4,51.9,47.3,37.4,84.6,581,1517,1.5,1.12,2.62,1.35,2.47,1.53,1.1,2.62,1.39,2.49
39,Huesca,La Liga,27,28.0,48.3,38,418,3420,38.0,32,23,55,29,3,4,69,2,38.9,36.1,26.7,62.8,618,1185,0.84,0.61,1.45,0.76,1.37,1.02,0.7,1.73,0.95,1.65
40,Inter,Serie A,25,27.7,52.5,38,418,3420,38.0,84,62,146,76,8,9,61,2,74.2,67.2,52.5,119.8,766,1707,2.21,1.63,3.84,2.0,3.63,1.95,1.38,3.34,1.77,3.15
41,Juventus,Serie A,30,27.7,56.9,38,418,3420,38.0,76,59,135,68,8,10,80,6,74.4,67.0,55.1,122.1,949,1768,2.0,1.55,3.55,1.79,3.34,1.96,1.45,3.41,1.76,3.21
42,Koln,Bundesliga,28,24.9,46.3,34,374,3060,34.0,33,23,56,29,4,6,63,1,40.5,35.9,25.5,61.5,429,1131,0.97,0.68,1.65,0.85,1.53,1.19,0.75,1.94,1.06,1.81
43,Lazio,Serie A,30,29.4,53.0,38,418,3420,38.0,59,40,99,53,6,10,107,5,58.2,50.7,39.6,90.2,785,1688,1.55,1.05,2.61,1.39,2.45,1.53,1.04,2.57,1.33,2.37
44,Leeds United,Premier League,23,26.1,57.3,38,418,3420,38.0,60,45,105,56,4,4,61,1,55.6,52.5,41.9,94.3,811,1633,1.58,1.18,2.76,1.47,2.66,1.46,1.1,2.57,1.38,2.48
45,Leicester City,Premier League,27,26.5,54.3,38,418,3420,38.0,64,45,109,54,10,12,61,0,55.8,46.3,33.7,80.1,666,1464,1.68,1.18,2.87,1.42,2.61,1.47,0.89,2.36,1.22,2.11
46,Lens,Ligue 1,27,26.4,51.1,38,418,3420,38.0,53,35,88,43,10,12,94,7,56.4,47.3,37.8,85.1,743,1567,1.39,0.92,2.32,1.13,2.05,1.48,0.99,2.48,1.24,2.24
47,Levante,La Liga,29,28.0,52.2,38,418,3420,38.0,45,35,80,42,3,6,68,1,40.4,35.7,29.6,65.3,619,1537,1.18,0.92,2.11,1.11,2.03,1.06,0.78,1.84,0.94,1.72
48,Leverkusen,Bundesliga,30,25.4,59.7,34,374,3060,34.0,52,41,93,49,3,3,58,0,46.3,44.0,34.7,78.7,724,1522,1.53,1.21,2.74,1.44,2.65,1.36,1.02,2.38,1.29,2.32
49,Lille,Ligue 1,21,25.4,53.8,38,418,3420,38.0,62,39,101,57,5,5,68,2,48.5,44.5,34.4,79.0,713,1660,1.63,1.03,2.66,1.5,2.53,1.28,0.91,2.18,1.17,2.08
50,Liverpool,Premier League,28,26.8,62.1,38,418,3420,38.0,65,43,108,59,6,6,40,0,67.5,62.9,48.3,111.2,886,2057,1.71,1.13,2.84,1.55,2.68,1.78,1.27,3.05,1.66,2.93
51,Lorient,Ligue 1,27,26.8,44.6,38,418,3420,38.0,49,26,75,40,9,10,69,3,48.6,41.4,30.8,72.2,572,1169,1.29,0.68,1.97,1.05,1.74,1.28,0.81,2.09,1.09,1.9
52,Lyon,Ligue 1,29,25.8,54.9,38,418,3420,38.0,76,46,122,65,11,11,66,10,81.4,73.0,54.9,127.9,805,1991,2.0,1.21,3.21,1.71,2.92,2.14,1.44,3.59,1.92,3.36
53,M'Gladbach,Bundesliga,23,26.9,51.7,34,374,3060,34.0,63,44,107,53,10,11,61,2,54.9,46.5,37.1,83.6,613,1371,1.85,1.29,3.15,1.56,2.85,1.62,1.09,2.71,1.37,2.46
54,Mainz 05,Bundesliga,31,25.8,40.7,34,374,3060,34.0,39,23,62,34,5,5,63,1,49.9,46.0,34.9,80.9,442,1046,1.15,0.68,1.82,1.0,1.68,1.47,1.03,2.49,1.35,2.38
55,Manchester City,Premier League,24,26.1,63.5,38,418,3420,38.0,82,55,137,77,5,9,46,2,68.2,61.2,45.4,106.6,1096,2051,2.16,1.45,3.61,2.03,3.47,1.8,1.19,2.99,1.61,2.81
56,Manchester Utd,Premier League,29,25.6,55.7,38,418,3420,38.0,70,51,121,60,10,11,64,1,60.1,51.4,41.6,93.1,877,1832,1.84,1.34,3.18,1.58,2.92,1.58,1.1,2.68,1.35,2.45
57,Marseille,Ligue 1,31,27.2,53.6,38,418,3420,38.0,53,45,98,49,4,7,98,9,47.0,41.6,36.5,78.0,606,1499,1.39,1.18,2.58,1.29,2.47,1.24,0.96,2.2,1.09,2.05
58,Metz,Ligue 1,27,25.7,45.2,38,418,3420,38.0,42,28,70,35,7,11,84,4,44.1,35.8,28.3,64.0,744,1221,1.11,0.74,1.84,0.92,1.66,1.16,0.74,1.9,0.94,1.68
59,Milan,Serie A,29,24.4,51.7,38,418,3420,38.0,72,47,119,57,15,20,83,4,70.7,56.0,43.9,99.8,784,1483,1.89,1.24,3.13,1.5,2.74,1.86,1.15,3.02,1.47,2.63
60,Monaco,Ligue 1,30,24.8,55.8,38,418,3420,38.0,76,52,128,64,12,15,78,7,68.7,56.9,46.7,103.6,757,1750,2.0,1.37,3.37,1.68,3.05,1.81,1.23,3.04,1.5,2.73
61,Montpellier,Ligue 1,25,28.0,45.7,38,418,3420,38.0,60,42,102,58,2,5,65,7,51.9,48.1,33.8,81.8,616,1311,1.58,1.11,2.68,1.53,2.63,1.37,0.89,2.25,1.26,2.15
62,Nantes,Ligue 1,25,25.8,43.9,38,418,3420,38.0,47,28,75,39,8,9,70,4,49.0,42.2,29.4,71.6,656,1350,1.24,0.74,1.97,1.03,1.76,1.29,0.77,2.06,1.11,1.88
63,Napoli,Serie A,25,27.1,55.1,38,418,3420,38.0,83,56,139,76,7,8,76,3,67.7,61.4,46.9,108.3,884,1703,2.18,1.47,3.66,2.0,3.47,1.78,1.23,3.02,1.62,2.85
64,Newcastle Utd,Premier League,27,27.1,38.8,38,418,3420,38.0,44,26,70,38,6,7,65,3,43.4,37.8,29.0,66.8,467,903,1.16,0.68,1.84,1.0,1.68,1.14,0.76,1.91,1.0,1.76
65,Nice,Ligue 1,31,23.5,54.3,38,418,3420,38.0,49,26,75,42,7,7,73,4,48.0,42.7,29.9,72.6,784,1531,1.29,0.68,1.97,1.11,1.79,1.26,0.79,2.05,1.12,1.91
66,Nimes,Ligue 1,33,25.8,44.4,38,418,3420,38.0,40,26,66,33,7,8,60,5,43.3,37.0,29.9,66.9,520,1200,1.05,0.68,1.74,0.87,1.55,1.14,0.79,1.93,0.97,1.76
67,Osasuna,La Liga,28,27.9,43.2,38,418,3420,38.0,36,25,61,31,5,6,80,5,38.7,34.7,24.9,59.7,345,1220,0.95,0.66,1.61,0.82,1.47,1.02,0.66,1.68,0.91,1.57
68,Paris S-G,Ligue 1,33,26.7,63.1,38,418,3420,38.0,84,52,136,72,12,13,79,7,80.1,70.1,55.6,125.8,909,2089,2.21,1.37,3.58,1.89,3.26,2.11,1.46,3.57,1.85,3.31
69,Parma,Serie A,42,28.0,47.8,38,418,3420,38.0,39,26,65,34,5,5,91,1,42.5,38.6,30.5,69.0,607,1319,1.03,0.68,1.71,0.89,1.58,1.12,0.8,1.92,1.01,1.82
70,RB Leipzig,Bundesliga,25,25.0,59.7,34,374,3060,34.0,59,44,103,51,8,10,57,0,64.4,56.7,43.7,100.4,624,1719,1.74,1.29,3.03,1.5,2.79,1.89,1.28,3.18,1.67,2.95
71,Real Madrid,La Liga,30,27.9,59.3,38,418,3420,38.0,64,53,117,61,3,3,59,2,61.5,59.2,47.4,106.5,963,1920,1.68,1.39,3.08,1.61,3.0,1.62,1.25,2.87,1.56,2.8
72,Real Sociedad,La Liga,30,25.0,54.9,38,418,3420,38.0,58,39,97,49,9,12,81,1,60.7,51.5,39.6,91.1,626,1554,1.53,1.03,2.55,1.29,2.32,1.6,1.04,2.64,1.36,2.4
73,Reims,Ligue 1,29,24.6,44.9,38,418,3420,38.0,39,23,62,34,5,5,77,8,32.7,28.9,21.7,50.6,698,1246,1.03,0.61,1.63,0.89,1.5,0.86,0.57,1.43,0.76,1.33
74,Rennes,Ligue 1,32,25.5,59.1,38,418,3420,38.0,50,39,89,47,3,3,79,5,47.8,45.4,35.3,80.7,741,1883,1.32,1.03,2.34,1.24,2.26,1.26,0.93,2.19,1.2,2.12
75,Roma,Serie A,31,26.7,52.2,38,418,3420,38.0,67,51,118,60,7,8,91,3,65.3,59.0,48.2,107.2,863,1583,1.76,1.34,3.11,1.58,2.92,1.72,1.27,2.98,1.55,2.82
76,Saint-Etienne,Ligue 1,40,25.4,48.3,38,418,3420,38.0,40,28,68,34,6,9,76,2,48.7,41.8,31.6,73.4,616,1229,1.05,0.74,1.79,0.89,1.63,1.28,0.83,2.11,1.1,1.93
77,Sampdoria,Serie A,27,27.9,45.2,38,418,3420,38.0,52,37,89,47,5,6,83,3,45.4,41.1,31.9,73.0,588,1370,1.37,0.97,2.34,1.24,2.21,1.2,0.84,2.04,1.08,1.92
78,Sassuolo,Serie A,28,26.5,60.3,38,418,3420,38.0,61,36,97,48,13,14,79,4,58.4,47.7,34.0,81.8,770,1746,1.61,0.95,2.55,1.26,2.21,1.54,0.9,2.43,1.26,2.15
79,Schalke 04,Bundesliga,42,25.9,44.7,34,374,3060,34.0,24,20,44,24,0,3,74,2,28.7,26.3,20.6,46.9,452,943,0.71,0.59,1.29,0.71,1.29,0.84,0.61,1.45,0.77,1.38
80,Sevilla,La Liga,26,28.1,60.9,38,418,3420,38.0,52,36,88,46,6,7,79,2,54.4,48.9,41.0,90.0,691,1627,1.37,0.95,2.32,1.21,2.16,1.43,1.08,2.51,1.29,2.37
81,Sheffield Utd,Premier League,27,26.7,41.7,38,418,3420,38.0,19,13,32,16,3,4,73,3,32.6,29.5,24.9,54.4,491,1196,0.5,0.34,0.84,0.42,0.76,0.86,0.66,1.52,0.78,1.43
82,Southampton,Premier League,29,26.6,52.0,38,418,3420,38.0,47,33,80,42,5,6,52,3,41.2,36.6,25.8,62.5,626,1195,1.24,0.87,2.11,1.11,1.97,1.09,0.68,1.77,0.96,1.64
83,Spezia,Serie A,35,25.2,51.9,38,418,3420,38.0,52,37,89,48,4,5,100,5,46.6,42.7,31.1,73.8,627,1388,1.37,0.97,2.34,1.26,2.24,1.23,0.82,2.05,1.12,1.94
84,Strasbourg,Ligue 1,26,26.8,45.7,38,418,3420,38.0,49,26,75,39,10,12,58,3,52.8,43.4,32.1,75.5,538,1301,1.29,0.68,1.97,1.03,1.71,1.39,0.84,2.23,1.14,1.99
85,Stuttgart,Bundesliga,29,24.1,51.5,34,374,3060,34.0,54,42,96,48,6,8,65,2,51.4,45.1,37.1,82.2,701,1467,1.59,1.24,2.82,1.41,2.65,1.51,1.09,2.6,1.33,2.42
86,Torino,Serie A,29,26.9,47.3,38,418,3420,38.0,49,28,77,44,5,6,78,4,50.0,45.3,32.2,77.5,617,1138,1.29,0.74,2.03,1.16,1.89,1.32,0.85,2.16,1.19,2.04
87,Tottenham,Premier League,24,27.2,51.6,38,418,3420,38.0,66,50,116,61,5,5,57,2,53.1,49.2,35.3,84.4,633,1330,1.74,1.32,3.05,1.61,2.92,1.4,0.93,2.33,1.29,2.22
88,Udinese,Serie A,33,27.2,46.3,38,418,3420,38.0,40,30,70,36,4,4,65,2,45.7,42.9,30.0,72.9,672,1405,1.05,0.79,1.84,0.95,1.74,1.2,0.79,1.99,1.13,1.92
89,Union Berlin,Bundesliga,27,27.3,44.9,34,374,3060,34.0,50,39,89,45,5,7,57,2,46.9,41.3,33.4,74.7,464,1059,1.47,1.15,2.62,1.32,2.47,1.38,0.98,2.36,1.22,2.2
90,Valencia,La Liga,30,25.2,46.9,38,418,3420,38.0,48,35,83,40,8,10,82,5,42.6,34.8,27.3,62.1,575,1180,1.26,0.92,2.18,1.05,1.97,1.12,0.72,1.84,0.92,1.63
91,Valladolid,La Liga,32,28.1,45.2,38,418,3420,38.0,34,21,55,27,7,8,93,4,40.1,33.8,24.2,58.0,564,1101,0.89,0.55,1.45,0.71,1.26,1.05,0.64,1.69,0.89,1.53
92,Villarreal,La Liga,29,28.0,55.2,38,418,3420,38.0,57,33,90,45,12,13,67,5,56.4,46.4,40.5,86.9,737,1628,1.5,0.87,2.37,1.18,2.05,1.48,1.06,2.55,1.22,2.29
93,Werder Bremen,Bundesliga,27,26.3,43.9,34,374,3060,34.0,35,25,60,30,5,5,67,3,32.9,29.0,21.5,50.5,414,1065,1.03,0.74,1.76,0.88,1.62,0.97,0.63,1.6,0.85,1.49
94,West Brom,Premier League,30,26.4,37.9,38,418,3420,38.0,33,20,53,29,4,4,51,4,35.8,32.7,24.4,57.1,441,1027,0.87,0.53,1.39,0.76,1.29,0.94,0.64,1.59,0.86,1.5
95,West Ham,Premier League,24,27.8,43.2,38,418,3420,38.0,60,46,106,58,2,4,50,3,55.4,52.1,39.6,91.7,658,1282,1.58,1.21,2.79,1.53,2.74,1.46,1.04,2.5,1.37,2.41
96,Wolfsburg,Bundesliga,26,25.6,51.1,34,374,3060,34.0,57,48,105,55,2,3,58,3,49.0,46.9,37.7,84.5,595,1397,1.68,1.41,3.09,1.62,3.03,1.44,1.11,2.55,1.38,2.49
97,Wolves,Premier League,27,26.3,49.3,38,418,3420,38.0,34,21,55,30,4,4,55,1,36.5,33.4,24.1,57.6,800,1283,0.89,0.55,1.45,0.79,1.34,0.96,0.63,1.6,0.88,1.51
